cluster_id,embedding_dim,learning_rate,batch_size,dropout_rate,num_epochs,mse,rmse,ndcg@10,precision@10,recall@10,f1@10,train_time_sec
0,5,0.001,128,0.0,20,0.82166994,0.9064601,0.9965733206667666,0.8886216619671587,0.8968319787692818,0.8913584342345331,231.37
1,5,0.001,128,0.0,20,2.1123016,1.4533759,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,44.52
2,5,0.001,128,0.0,20,0.69918483,0.83617276,0.976503129132048,0.9067006147352968,0.953757225433526,0.9226680973263769,51.84
3,5,0.001,128,0.0,20,0.5404208,0.7351332,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,169.15
0,5,0.001,128,0.0,40,0.83747214,0.915135,0.9966408546724946,0.8886216619671587,0.8968319787692818,0.8913584342345331,223.39
1,5,0.001,128,0.0,40,2.0505683,1.4319806,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,57.61
2,5,0.001,128,0.0,40,0.70662516,0.84060997,0.977565723373219,0.9067006147352968,0.953757225433526,0.9226680973263769,51.6
3,5,0.001,128,0.0,40,0.52982897,0.72789353,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,117.48
0,5,0.001,128,0.3,20,0.84871304,0.92125624,0.996817526044549,0.8886216619671587,0.8968319787692818,0.8913584342345331,251.63
1,5,0.001,128,0.3,20,2.0902975,1.4457861,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,109.46
2,5,0.001,128,0.3,20,0.78612506,0.8866369,0.9776973609602275,0.9067006147352968,0.953757225433526,0.9226680973263769,91.39
3,5,0.001,128,0.3,20,0.55975604,0.74816847,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,208.1
0,5,0.001,128,0.3,40,0.8503879,0.9221648,0.996674410066191,0.8886216619671587,0.8968319787692818,0.8913584342345331,278.94
1,5,0.001,128,0.3,40,2.0828576,1.4432108,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,101.55
2,5,0.001,128,0.3,40,0.7739554,0.87974733,0.9752859906371223,0.9067006147352968,0.953757225433526,0.9226680973263769,108.38
3,5,0.001,128,0.3,40,0.55158496,0.74268764,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,200.98
0,5,0.001,512,0.0,20,0.83914536,0.91604877,0.9968608152147095,0.8886216619671587,0.8968319787692818,0.8913584342345331,219.84
1,5,0.001,512,0.0,20,2.083763,1.4435245,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,57.92
2,5,0.001,512,0.0,20,0.6702016,0.8186584,0.9781362122875048,0.9067006147352968,0.953757225433526,0.9226680973263769,59.41
3,5,0.001,512,0.0,20,0.52590984,0.7251964,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,118.1
0,5,0.001,512,0.0,40,0.8172871,0.9040393,0.9967346705286487,0.8886216619671587,0.8968319787692818,0.8913584342345331,195.19
1,5,0.001,512,0.0,40,2.007905,1.4170057,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,60.92
2,5,0.001,512,0.0,40,0.6957919,0.83414143,0.9744414860006144,0.9067006147352968,0.953757225433526,0.9226680973263769,57.76
3,5,0.001,512,0.0,40,0.550171,0.74173516,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,138.14
0,5,0.001,512,0.3,20,0.85847026,0.9265367,0.9966301438997436,0.8886216619671587,0.8968319787692818,0.8913584342345331,486.08
1,5,0.001,512,0.3,20,2.1494133,1.4660878,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,126.84
2,5,0.001,512,0.3,20,0.9300569,0.96439457,0.9778275427643643,0.9067006147352968,0.953757225433526,0.9226680973263769,107.12
3,5,0.001,512,0.3,20,0.6233414,0.7895197,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,304.52
0,5,0.001,512,0.3,40,0.8807457,0.93848056,0.996101560677712,0.8886216619671587,0.8968319787692818,0.8913584342345331,364.14
1,5,0.001,512,0.3,40,2.1381898,1.462255,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,151.3
2,5,0.001,512,0.3,40,0.88754636,0.94209677,0.9770037047684611,0.9067006147352968,0.953757225433526,0.9226680973263769,151.67
3,5,0.001,512,0.3,40,0.5927472,0.7699008,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,277.39
