mse,rmse,ndcg@10,precision@10,recall@10,f1@10,custom_embedding_dim,random_embedding_dim,custom_dropout_rate,random_dropout_rate,custom_learning_rate,random_learning_rate,fc_dropout_rate,fc_learning_rate,batch_size,num_epochs
0.6653366,0.8156817,0.978388556787144,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.0,0.0,0.001,0.001,0.0,0.001,128,20
0.63755524,0.79847056,0.9800740037826434,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.0,0.0,0.001,0.001,0.0,0.001,128,40
0.75539434,0.86913425,0.9781529471691356,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.0,0.0,0.001,0.001,0.0,0.001,512,20
0.6976937,0.8352806,0.9793327878330069,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.0,0.0,0.001,0.001,0.0,0.001,512,40
0.6452783,0.80329216,0.9793286166038508,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.0,0.0,0.001,0.001,0.3,0.001,128,20
0.67364746,0.8207603,0.9785416673977954,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.0,0.0,0.001,0.001,0.3,0.001,128,40
0.79289854,0.8904485,0.9754524004975254,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.0,0.0,0.001,0.001,0.3,0.001,512,20
1.2631713,1.123909,0.9773841467214585,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.0,0.0,0.001,0.001,0.3,0.001,512,40
0.65780365,0.81105095,0.9766185554286281,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.3,0.0,0.001,0.001,0.0,0.001,128,20
0.73102933,0.8550025,0.9770877760669049,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.3,0.0,0.001,0.001,0.0,0.001,128,40
0.71191347,0.84374964,0.9775206813897211,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.3,0.0,0.001,0.001,0.0,0.001,512,20
0.7226888,0.85011107,0.977732607914461,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.3,0.0,0.001,0.001,0.0,0.001,512,40
0.62840986,0.79272306,0.9781139614868557,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.3,0.0,0.001,0.001,0.3,0.001,128,20
0.660786,0.81288743,0.9789618585867679,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.3,0.0,0.001,0.001,0.3,0.001,128,40
0.68625075,0.8284025,0.9787459083731737,0.9067006147352968,0.953757225433526,0.9226680973263769,5,5,0.3,0.0,0.001,0.001,0.3,0.001,512,20
